id,text,clean_text,predicted_emotion,sarkasme_leksikon,sarkasme_proksi_jijik
2.05457669410801e+18,"2 Satpam SMK 1 Polewali Mandar, Sulbar menjadi korban pengeroyokan sejumlah siswa gegara tidak terima ditegur saat dipergoki merokok &amp; panjat pagar pagar sekolah!

Calon2 pengangguran 😂 https://t.co/0H0WxKzqBS",satpam smk polewali mandar sulbar menjadi korban pengeroyokan sejumlah siswa gegara tidak terima ditegur saat dipergoki merokok amp panjat pagar pagar sekolah calon pengangguran,Netral,False,False
2.05440286094801e+18,"Program politik berkedok gizi harus lihat video ini, makan nasi dan lauk sepuasnya hanya bayar Rp.5.000 tapi keuntungan bisa mencapai 17 juta per hari,.

Warung Pak Rudi terletak di Sukoharjo - Jawa Tengah, apa rahasianya? Simak video singkat ini.👇 https://t.co/qHFqNqJmch",program politik berkedok gizi harus lihat video ini makan nasi dan lauk sepuasnya hanya bayar rp tapi keuntungan bisa mencapai juta per hari warung pak rudi terletak di sukoharjo jawa tengah apa rahasianya simak video singkat ini,Jijik,False,True
2.05616921889123e+18,"Gegara uang 300 ribu dipakai modal untuk jualan &amp; beli susu anaknya, seorang laki2 miskin tanggung jawab di kota Makassar mengamuk mengancam pakai badik minta uang tsb dikembalikan.

Kasih dia MBG (Makan Beracun Gratis) biar cepet menghadap 😂 https://t.co/ZCo9TjSw3w",gegara uang ribu dipakai modal untuk jualan amp beli susu anaknya seorang laki miskin tanggung jawab di kota makassar mengamuk mengancam pakai badik minta uang tsb dikembalikan kasih dia mbg makan beracun gratis biar cepet menghadap,Jijik,False,True
2.05672595276026e+18,"Pemerintah Kota Yogyakarta (Pemkot Yogya) menyampaikan perkembangan terkini penanganan kasus kekerasan dan penelantaran anak di daycare Little Aresha. Terkini, terdapat 18 anak yang dinyatakan kurang gizi dari hasil pemeriksaan.

Kepala Bidang Kesehatan Masyarakat Dinkes Kota Yogya Aan Iswanti mengatakan, dari 149 anak yang menjalani skrining pertumbuhan, ditemukan 18 anak mengalami masalah gizi.

Aan mengatakan pihaknya juga melakukan skrining perkembangan pada 153 anak.

""Hasilnya ini 12 anak mengalami penyimpangan perkembangan, 19 anak berada dalam kategori meragukan, dan 122 anak berada dalam kondisi perkembangan normal,"" kata Aan.

Aan mengatakan anak-anak ini dirujuk ke fasilitas kesehatan seperti puskesmas untuk mendapatkan pendampingan dari tim asuhan gizi serta dokter. Selain itu, mereka juga akan mendapatkan pemeriksaan perkembangan yang lebih komprehensif.

📸: Dok. kumparan/Afriansyah Panji.

Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠

📝: newsupdate | update | news | oneliner | R176 | E164

#kumparan #bicarafaktalewatberita",pemerintah kota yogyakarta pemkot yogya menyampaikan perkembangan terkini penanganan kasus kekerasan dan penelantaran anak di daycare little aresha terkini terdapat anak yang dinyatakan kurang gizi dari hasil pemeriksaan kepala bidang kesehatan masyarakat dinkes kota yogya aan iswanti mengatakan dari anak yang menjalani skrining pertumbuhan ditemukan anak mengalami masalah gizi aan mengatakan pihaknya juga melakukan skrining perkembangan pada anak hasilnya ini anak mengalami penyimpangan perkembangan anak berada dalam kategori meragukan dan anak berada dalam kondisi perkembangan normal kata aan aan mengatakan anakanak ini dirujuk ke fasilitas kesehatan seperti puskesmas untuk mendapatkan pendampingan dari tim asuhan gizi serta dokter selain itu mereka juga akan mendapatkan pemeriksaan perkembangan yang lebih komprehensif dok kumparanafriansyah panji baca selengkapnya dengan klik link di bio cari tahu berita update lainnya dengan download aplikasi kumparan di app store atau google play newsupdate update news oneliner r e,Jijik,False,True
2.05801189444811e+18,"Seorang istri sah sambil menggendong anaknya di Sekadau, Kalbar menggerebek suaminya yg sedang bersama wanita idaman lain di sebuah kamar kos.

Uthi yg sabar ya, mending uthi pulang &amp; sampe rumah siapin makanan &amp; minuman beracun gratis buat lakinya biar cepet menghadap 😂 https://t.co/dsArnkZXw2",seorang istri sah sambil menggendong anaknya di sekadau kalbar menggerebek suaminya yg sedang bersama wanita idaman lain di sebuah kamar kos uthi yg sabar ya mending uthi pulang amp sampe rumah siapin makanan amp minuman beracun gratis buat lakinya biar cepet menghadap,Jijik,False,True
2.05592126423845e+18,"Setelah mendengar pidato dari bapak presiden kita, apa yang pernah dikatakan oleh presiden BEM UGM sepertinya kok ya gitu deh..... sebelumnya juga viral ucapan CEO embege dan maling berkedok gizi....🤧 https://t.co/sLaSCLPJ6u",setelah mendengar pidato dari bapak presiden kita apa yang pernah dikatakan oleh presiden bem ugm sepertinya kok ya gitu deh sebelumnya juga viral ucapan ceo embege dan maling berkedok gizi,Jijik,False,True
2.0573884516377e+18,"Aksi tebar ikan oleh salah satu perusahaan di Wonogiri, Jateng, dengan tujuan konservasi lingkungan tidak berjalan optimal krn ikan belum masuk sungai sudah langsung ditadah warga pake serokan!

Orang gila! 😂 https://t.co/yDR1xoojes",aksi tebar ikan oleh salah satu perusahaan di wonogiri jateng dengan tujuan konservasi lingkungan tidak berjalan optimal krn ikan belum masuk sungai sudah langsung ditadah warga pake serokan orang gila,Jijik,False,True
2.05803992309842e+18,Dari tanah Papua untuk anak Papua! 🚀 Senyum bahagia terpancar saat mama-mama Papua bawa hasil bumi untuk program MBG. Langkah nyata tingkatkan gizi anak bangsa sekaligus sejahterakan para petani lokal. Keren banget! 🇮🇩 Perjalanan indah dari hulu. https://t.co/2otwfmQxYo,dari tanah papua untuk anak papua senyum bahagia terpancar saat mamamama papua bawa hasil bumi untuk program mbg langkah nyata tingkatkan gizi anak bangsa sekaligus sejahterakan para petani lokal keren banget perjalanan indah dari hulu,Jijik,True,True
2.05768955169988e+18,"Gegara diputusin pacarnya, pria jamet ini datangi rumah mantan untuk tagih semua yang pernah dia kasih ke pacarnya 😂 https://t.co/vuTFBvazwn",gegara diputusin pacarnya pria jamet ini datangi rumah mantan untuk tagih semua yang pernah dia kasih ke pacarnya,Jijik,False,True
2.05399526764984e+18,"Setelah Tenaga Gizi diobok-obok BGN demi melancarkan pembukaan dapur SPPG, kali ini giliran Tenaga Farmasi yang diobok-obok oleh BPOM di tengah gencarnya pembukaan Kopdes Merah Putih yang juga diproyeksikan bakal melayani jual beli obat nantinya 😌 https://t.co/DOZWYf8ohU",setelah tenaga gizi diobokobok bgn demi melancarkan pembukaan dapur sppg kali ini giliran tenaga farmasi yang diobokobok oleh bpom di tengah gencarnya pembukaan kopdes merah putih yang juga diproyeksikan bakal melayani jual beli obat nantinya,Jijik,False,True
2.05778235885478e+18,"Satpol PP di Kab. Nias Selatan melakukan penertiban pedagang yang berjualan diteras rumah milik warga sendiri.

Ada2 aja kelakuan kembaran parcok ini 😂 https://t.co/5DLeFl49UB",satpol pp di kab nias selatan melakukan penertiban pedagang yang berjualan diteras rumah milik warga sendiri ada aja kelakuan kembaran parcok ini,Jijik,False,True
2.05742370351707e+18,"Kalo tadi ada produk perawatan untuk baby, sekarang ada susu dengan gizi maksimal untuk baby kamuuuuu: https://t.co/iHVXLbnYy5 💓 https://t.co/XrNv18HNN0",kalo tadi ada produk perawatan untuk baby sekarang ada susu dengan gizi maksimal untuk baby kamuuuuu,Jijik,False,True
2.05733304222689e+18,"Dua wanita yg sedang belanja ayam potong di pasar daging BT8 atas, Batam, Kepri, dimaki-maki oleh uthi yg lagi suteres gegara pakaian yg dikenakan tidak sesuai dengan pakaian di negara milik uthi yaitu Indonesia 😂 https://t.co/gGuFBXf8je",dua wanita yg sedang belanja ayam potong di pasar daging bt atas batam kepri dimakimaki oleh uthi yg lagi suteres gegara pakaian yg dikenakan tidak sesuai dengan pakaian di negara milik uthi yaitu indonesia,Jijik,False,True
2.05734377149136e+18,"Tak hanya menjaga keamanan, Polri juga ikut menggerakkan inovasi energi berkelanjutan. 🔥🇮🇩 

Melalui pemanfaatan Compressed Natural Gas (CNG) untuk operasional dapur Satuan Pelayanan Pemenuhan Gizi (SPPG), Polri mendukung program Makan Bergizi Gratis (MBG) agar berjalan lebih efisien, aman, dan ramah lingkungan. 

Energi lebih bersih, operasional lebih optimal, ribuan porsi makanan bergizi terus tersalurkan untuk generasi masa depan Indonesia. 

Transformasi Polri hadir bukan hanya menjaga, tetapi juga memastikan keberlanjutan: dari ketahanan pangan hingga energi untuk masyarakat.

Polri Terus Berikan Dukungan Keberhasilan Program Pemerintah Indonesia serta #KonsistenHadirkanManfaat Untuk Masyarakat",tak hanya menjaga keamanan polri juga ikut menggerakkan inovasi energi berkelanjutan melalui pemanfaatan compressed natural gas cng untuk operasional dapur satuan pelayanan pemenuhan gizi sppg polri mendukung program makan bergizi gratis mbg agar berjalan lebih efisien aman dan ramah lingkungan energi lebih bersih operasional lebih optimal ribuan porsi makanan bergizi terus tersalurkan untuk generasi masa depan indonesia transformasi polri hadir bukan hanya menjaga tetapi juga memastikan keberlanjutan dari ketahanan pangan hingga energi untuk masyarakat polri terus berikan dukungan keberhasilan program pemerintah indonesia serta untuk masyarakat,Jijik,False,True
2.05766497039835e+18,"Sinergi hebat di Lampung! 🌾 Pemprov Lampung dorong Dapur MBG untuk optimalkan penyerapan produk petani, peternak, &amp; UMKM lokal. Anak-anak dapat gizi terbaik, ekonomi warga dan pelaku usaha daerah ikut berputar hebat! 🇮🇩✨ https://t.co/wmADPmicOx",sinergi hebat di lampung pemprov lampung dorong dapur mbg untuk optimalkan penyerapan produk petani peternak amp umkm lokal anakanak dapat gizi terbaik ekonomi warga dan pelaku usaha daerah ikut berputar hebat,Jijik,True,True
2.05815655595505e+18,"Spinoza anlatmış söz ile tözü 
Bu tözdür TANRI işin tam özü 
Adnan onu doğada bulan can
Ondan doğa ona dev heyecan 
Doğa varsa vardır her bir can 
Her can bilin ki onla var olan 
Akıl ve zeka çözer o hoş gizi 
Doğa giziyle eder sarhoş bizi 
Ceza korkusu sevgiye çengel 
Sevgiyi hür kılın kalksın engel!

Sevgiler...💖🌺🌞",spinoza anlatm sz ile tz bu tzdr tanri iin tam z adnan onu doada bulan can ondan doa ona dev heyecan doa varsa vardr her bir can her can bilin ki onla var olan akl ve zeka zer o ho gizi doa giziyle eder sarho bizi ceza korkusu sevgiye engel sevgiyi hr kln kalksn engel sevgiler,Netral,False,False
2.05841018140773e+18,"bukan cuma soal keamanan, tapi juga peduli kebutuhan masyarakat 👍 kehadiran polsek loa kulu dalam rapat pangan murah patut diapresiasi. #MenjagaKetahananPangan
Melayani Gizi Indonesia https://t.co/eP53poJmOg",bukan cuma soal keamanan tapi juga peduli kebutuhan masyarakat kehadiran polsek loa kulu dalam rapat pangan murah patut diapresiasi melayani gizi indonesia,Jijik,False,True
2.05700515311145e+18,"Pembangunan yonif disalah satu wilayah di Kalimantan Tengah mendapat protes dari warga karena status tanah masih sengketa 🤔

TNI kuat ... rakyat. Isi sendiri titik-titiknya. https://t.co/EZT7mbpisg",pembangunan yonif disalah satu wilayah di kalimantan tengah mendapat protes dari warga karena status tanah masih sengketa tni kuat rakyat isi sendiri titiktitiknya,Jijik,False,True
2.05814858312438e+18,"Program Makan Bergizi Gratis (MBG) terus memberikan dampak signifikan terhadap penyerapan tenaga kerja dan perputaran ekonomi nasional melalui penyerapan 1,28 juta pekerja.

Hal tersebut disampaikan Badan Gizi Nasional (BGN) dalam statistik terbaru yang dirilis pada Jumat (22/5), yang menyebut Program MBG telah melibatkan jutaan pekerja tersebut di 29.225 Satuan Pelayanan Pemenuhan Gizi (SPPG) seluruh Indonesia.

🔽🔽🔽
Baca selengkapnya: https://t.co/9My04a2mp5

Grafis: Ulfa Jainita",program makan bergizi gratis mbg terus memberikan dampak signifikan terhadap penyerapan tenaga kerja dan perputaran ekonomi nasional melalui penyerapan juta pekerja hal tersebut disampaikan badan gizi nasional bgn dalam statistik terbaru yang dirilis pada jumat yang menyebut program mbg telah melibatkan jutaan pekerja tersebut di satuan pelayanan pemenuhan gizi sppg seluruh indonesia baca selengkapnya grafis ulfa jainita,Tertarik,False,False
2.05494062222686e+18,"Seorang wartawan senior, David Rizal mengaku kesal usai mobilnya terhalang kendaraan dinas berplat merah milik salah satu instansi daerah di Jabodetabek.

Semua jalan milik plat dinas 😂 https://t.co/3so73e8AQO",seorang wartawan senior david rizal mengaku kesal usai mobilnya terhalang kendaraan dinas berplat merah milik salah satu instansi daerah di jabodetabek semua jalan milik plat dinas,Jijik,False,True
2.05769924890955e+18,"💚 guys bapak ak umur 64th kurus, kerja capek, makan normal. kalau dibawa ke dokter gizi kira2 biaya nya berapa ya? khawatir bapak aku kurus jd sedib🥲",guys bapak ak umur th kurus kerja capek makan normal kalau dibawa ke dokter gizi kira biaya nya berapa ya khawatir bapak aku kurus jd sedib,Jijik,False,True
2.05838510918796e+18,"MBG penggerak ekonomi rakyat! 🌟 Dengan menyerap 1,28 juta tenaga kerja, program ini jadi angin segar bagi lapangan kerja baru. Sektor peternak dan UMKM lokal pun kecipratan untung dari rantai pasok gizi harian ini. https://t.co/Ygwqda8chQ",mbg penggerak ekonomi rakyat dengan menyerap juta tenaga kerja program ini jadi angin segar bagi lapangan kerja baru sektor peternak dan umkm lokal pun kecipratan untung dari rantai pasok gizi harian ini,Jijik,False,True
2.05777087563899e+18,"@denni_sauya dikorupsiin lg ntar. Kayak MBG
Makanan yg diterima murid cuma kayak gini. 
Ahli gizi nya digaji mahal... 
Makanan nya cuma hrga 4 ribu an itu 🌹 https://t.co/g7qARJYryb",dikorupsiin lg ntar kayak mbg makanan yg diterima murid cuma kayak gini ahli gizi nya digaji mahal makanan nya cuma hrga ribu an itu,Tertarik,True,True
2.05690401084664e+18,"Cerito ning ibuk bar ditolak mergo kurang duwur malah ibuk nangis karo jaluk sepuro -rek
Jare pas aku cilik gaiso wenehi gizi yang lebih dadi gaiso duwur 😌",cerito ning ibuk bar ditolak mergo kurang duwur malah ibuk nangis karo jaluk sepuro rek jare pas aku cilik gaiso wenehi gizi yang lebih dadi gaiso duwur,Tertarik,False,False
2.05843674294507e+18,"@txtdrimedia Swasembada pangan Ndasmu Wo.
Impor pangan aja masih besar dibilang swa sembada pangan. Kenapa ya Buzzer Buzzer Pemerintah itu Goblok dan DONGO semuanya?

Saya belum nemu Buzzer Pemerintah yg Cerdas.
Tapi klo cerdas ya bukan Buzzer dong 😂 https://t.co/DUKrNKc9U6",swasembada pangan ndasmu wo impor pangan aja masih besar dibilang swa sembada pangan kenapa ya buzzer buzzer pemerintah itu goblok dan dongo semuanya saya belum nemu buzzer pemerintah yg cerdas tapi klo cerdas ya bukan buzzer dong,Jijik,False,True
2.05841258671943e+18,"@abbangz Sini kak aku lulusan S1 gizi dari PTN top 3, langsung wa yuk 😻",sini kak aku lulusan s gizi dari ptn top langsung wa yuk,Percaya,False,False
2.05765867372042e+18,Ketegasan Presiden Prabowo! ⚔️ Beliau ungkap sudah tutup lebih dari 3.000 dapur MBG yang melanggar. Pejabat daerah diminta ikut periksa dan laporkan jika ada temuan. Tidak ada kompromi demi gizi anak bangsa! 🇮🇩 https://t.co/CYmhT6BMV6,ketegasan presiden prabowo beliau ungkap sudah tutup lebih dari dapur mbg yang melanggar pejabat daerah diminta ikut periksa dan laporkan jika ada temuan tidak ada kompromi demi gizi anak bangsa,Tertarik,False,False
2.05784139484964e+18,@KaZep7 Otak terbo dan otak terjaal yg kurang asupan gizi dari orok.. skr mah gak bisa dibedakan.. sama² kurang se-ons 🫣@narkosun,otak terbo dan otak terjaal yg kurang asupan gizi dari orok skr mah gak bisa dibedakan sama kurang seons,Jijik,False,True
2.05768300158535e+18,"Perputaran uang ratusan miliar tiap bulan 💸
Program MBG di Sumedang bukan cuma bantu gizi anak, tapi juga gerakin ekonomi warga dan UMKM lokal 🔥🍱

#MBG #SumedangMaju
Pagii Pak Zulhas https://t.co/NLjdRDSWPk",perputaran uang ratusan miliar tiap bulan program mbg di sumedang bukan cuma bantu gizi anak tapi juga gerakin ekonomi warga dan umkm lokal pagii pak zulhas,Jijik,False,True
2.0582189354141e+18,@SauloLinsFreir1 @misteriouspavao Colocou a cara de um ator americano. 🤦‍♀️,colocou a cara de um ator americano,Jijik,False,True
2.05839927735398e+18,"Dulu banyak yang bilang MBG cuma buang-buang uang negara…
Tapi sekarang faktanya keluar 👇
✅ 1,28 juta tenaga kerja terserap
✅ 29 ribu dapur SPPG aktif
✅ Petani &amp; peternak lokal ikut untung
✅ Anak-anak dapat gizi lebih baik""#jagaindonesia #fyp #twitter https://t.co/cVwN2Mm27u",dulu banyak yang bilang mbg cuma buangbuang uang negara tapi sekarang faktanya keluar juta tenaga kerja terserap ribu dapur sppg aktif petani amp peternak lokal ikut untung anakanak dapat gizi lebih baik,Jijik,False,True
2.05825870858966e+18,@HaileeNicole03 @RyliverUpdates @DreamItFRR7 this is one of the best pictures I have ever seen 😍,this is one of the best pictures i have ever seen,Percaya,False,False
2.05784413499234e+18,@pamcosta21 Parece uma criança de três anos mentindo. 🤦‍♀️,parece uma criana de trs anos mentindo,Percaya,False,False
2.05842948514667e+18,"MBG
Maling Berkedok Gizi
🤣🤣🤣

SPPG
Satuan Penjilat Prabowo Gibran 
🤣🤣🤣

KOK IYA ⁉️ https://t.co/hYA8RgkHy3",mbg maling berkedok gizi sppg satuan penjilat prabowo gibran kok iya,Tertarik,False,False
2.05804017372066e+18,"Kunci generasi unggul! 🌟 Dampak positif MBG langsung terasa di sekolah: anak-anak jadi lebih fokus, aktif, dan penuh semangat saat belajar. Langkah konkret penuhi hak gizi demi cetak SDM Indonesia yang cerdas. https://t.co/g8sRDAkSGQ",kunci generasi unggul dampak positif mbg langsung terasa di sekolah anakanak jadi lebih fokus aktif dan penuh semangat saat belajar langkah konkret penuhi hak gizi demi cetak sdm indonesia yang cerdas,Jijik,False,True
2.05597901129433e+18,"Sepasang kekasih warga Lhokseumawe, Aceh menggunakan pod getar disalah satu Apartemen di Medan, Sumut. Sedap betul kayanya tuh barang.

Siap2 jadi ATM berjalan 😂

S/C : ig txtdranakmuda https://t.co/2wDEGPeZoB",sepasang kekasih warga lhokseumawe aceh menggunakan pod getar disalah satu apartemen di medan sumut sedap betul kayanya tuh barang siap jadi atm berjalan sc ig txtdranakmuda,Jijik,False,True
2.05780164965851e+18,"@tanyakanrl pernah ngalamin gini kak. krn promil aku naik 17kg. tiap kumpul keluarga dibilangin gemuk terus dan jujur bikin sedih bgt.

akhirnya aku dengan kesadaran penuh diet abis2an kak. aku ke dokter gizi krn coba diet sendiri ga sukses. semangat ya kak🤗",pernah ngalamin gini kak krn promil aku naik kg tiap kumpul keluarga dibilangin gemuk terus dan jujur bikin sedih bgt akhirnya aku dengan kesadaran penuh diet abisan kak aku ke dokter gizi krn coba diet sendiri ga sukses semangat ya kak,Jijik,False,True
2.05843212201329e+18,"semakin mendekat semakin deg deg an😰😰😰 bismillah teman timun mohon doa kan aku yachh mudah mudah an kita semua bisa mendapatkan barcode di hari esok, aamiin allahumma aamiin 💟💟 https://t.co/83G1pn8FAZ",semakin mendekat semakin deg deg an bismillah teman timun mohon doa kan aku yachh mudah mudah an kita semua bisa mendapatkan barcode di hari esok aamiin allahumma aamiin,Tertarik,False,False
2.05741794639448e+18,"mau revisian?? gaskeeunn

open ya joki gizi ✨🌷#jokitugas #zonauang",mau revisian gaskeeunn open ya joki gizi,Percaya,False,False
2.05763756208969e+18,"[MITOS FAKTA 03: GIZI KLINIS]

Halo, Nutriple! 👐🏻
Kembali lagi di rubrik mitos dan fakta!

Kali ini kita akan membahas tentang “Mengganti Gula dengan Pemanis Buatan Mencegah Risiko Diabetes Melitus?”🧐 https://t.co/e2RnRvX17D",mitos fakta gizi klinis halo nutriple kembali lagi di rubrik mitos dan fakta kali ini kita akan membahas tentang mengganti gula dengan pemanis buatan mencegah risiko diabetes melitus,Jijik,False,True
2.05811719203052e+18,@ryulmaniaz Berkat mbg gizi dd terpenuhi jadi bisa tinggi maksimal 🤤,berkat mbg gizi dd terpenuhi jadi bisa tinggi maksimal,Percaya,False,False
2.05816773174121e+18,"@DudeRafay60339 iyo... 
gizi nya tinggi kuwi... 
✌✌",iyo gizi nya tinggi kuwi,Percaya,False,False
2.05746618923295e+18,"Mempelai pria di Kec. Belang, Kab. Minahasa Tenggara meninggalkan KUA saat pernikahan digelar. Keluarga &amp; mempelai wanita langsung histeris.

Yg sabar ya uthi 😰 https://t.co/G8WvAOjLc9",mempelai pria di kec belang kab minahasa tenggara meninggalkan kua saat pernikahan digelar keluarga amp mempelai wanita langsung histeris yg sabar ya uthi,Jijik,False,True
2.05776455804405e+18,@minjeonug Gue lah yang menyerap gizi gizi kak Onug itu 🥺,gue lah yang menyerap gizi gizi kak onug itu,Percaya,False,False
2.05843056406846e+18,dokter gizi bisa diem ga si emang jd kurus itu sama dengan gak healthy ya??? duh 🙄 https://t.co/LnOVnugaJh,dokter gizi bisa diem ga si emang jd kurus itu sama dengan gak healthy ya duh,Percaya,False,False
2.05765938790128e+18,"without disrespect his decision, temen-temen jangan ditiru ya 😞💔 diet yang baik adalah diet yang cukup nutrisi harian sesuai dengan anjuran dokter. kalau kalian mengalami kesulitan penurunan berat badan, langsung konsultasikan dengan dokter spesialis gizi",without disrespect his decision tementemen jangan ditiru ya diet yang baik adalah diet yang cukup nutrisi harian sesuai dengan anjuran dokter kalau kalian mengalami kesulitan penurunan berat badan langsung konsultasikan dengan dokter spesialis gizi,Jijik,False,True
2.05746909498797e+18,Ga sabar perbaikan gizi🤤🤤🤤,ga sabar perbaikan gizi,Percaya,False,False
2.05697068250504e+18,"Pssttt... Moms, biar bisa hemat dengan tetep kasih gizi sempurna untuk buah hati, perlu borong Enfagrow sekarang juga, deh: https://t.co/rLgZUUp9HO 🥰🫰 https://t.co/OcK2bLLUZJ",pssttt moms biar bisa hemat dengan tetep kasih gizi sempurna untuk buah hati perlu borong enfagrow sekarang juga deh,Jijik,False,True
2.05666051208431e+18,"Dua ruang kelas SMAN 7 Mataram tiba2 ambruk &amp; rubuh karena banyak yang dikorupsi 🤪

Akibat kejadian ini, sejumlah siswa mengalami luka2 &amp; otomatis akan menghambat proses penyaluran MBG (bukan menghambat proses belajar mengajar) 😂 https://t.co/pQFlO7p7CC",dua ruang kelas sman mataram tiba ambruk amp rubuh karena banyak yang dikorupsi akibat kejadian ini sejumlah siswa mengalami luka amp otomatis akan menghambat proses penyaluran mbg bukan menghambat proses belajar mengajar,Jijik,True,True
2.05694778892844e+18,"Sebuah rekaman cctv memperlihatkan keributan di sebuah konter hp 24 jam di Jln. Teluk Ambon, Kota Bandar Lampung.

Akamsi tidak terima dikenakan biaya admin transfer antarbank sebesar 10 ribu dgn nominal besar &amp; mengintimidasi pedagang.

Ampun bang jago 😂 https://t.co/I7IHJzygAX",sebuah rekaman cctv memperlihatkan keributan di sebuah konter hp jam di jln teluk ambon kota bandar lampung akamsi tidak terima dikenakan biaya admin transfer antarbank sebesar ribu dgn nominal besar amp mengintimidasi pedagang ampun bang jago,Jijik,False,True
2.05839476435001e+18,"Program MBG emang sangat bantu UMKM 👍 Perputaran ekonomi jadi lebih terasa sampai ke pelaku usaha kecil di daerah.
Kehadiran Program MBG bukan cuma bantu pemenuhan gizi, tapi juga bikin banyak UMKM ikut berkembang ✍️☑️ https://t.co/mybem5VF51",program mbg emang sangat bantu umkm perputaran ekonomi jadi lebih terasa sampai ke pelaku usaha kecil di daerah kehadiran program mbg bukan cuma bantu pemenuhan gizi tapi juga bikin banyak umkm ikut berkembang,Jijik,False,True
2.05802730249227e+18,"Variasi menu jadi salah satu kunci sukses Program MBG di Jayapura. Anak-anak lebih semangat makan karena menu dibuat beragam, bergizi, dan dekat dengan makanan yang mereka sukai. 
Edukasi gizi juga penting supaya pola hidup sehat tumbuh sejak dini 🥰 https://t.co/N5UL7M2uaC",variasi menu jadi salah satu kunci sukses program mbg di jayapura anakanak lebih semangat makan karena menu dibuat beragam bergizi dan dekat dengan makanan yang mereka sukai edukasi gizi juga penting supaya pola hidup sehat tumbuh sejak dini,Jijik,False,True
